Last login: Thu Feb  8 11:15:29 on ttys000
Shivams-MacBook-Pro:~ shivamkumar$ ps -ef
  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   418     1   0  1:55PM ??         0:00.92 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
  501   419     1   0  1:55PM ??         0:00.06 /System/Library/CoreServices/NotificationCenter.app/Contents/XPCServices/com.apple.notificationcenterui.WeatherSummary.xpc/Contents/MacOS/com.apple.notificationcenterui.WeatherSummary
  501   420     1   0  1:55PM ??         0:00.09 /System/Library/PrivateFrameworks/WeatherKit.framework/Versions/A/XPCServices/com.apple.WeatherKitService.xpc/Contents/MacOS/com.apple.WeatherKitService
  501   421     1   0  1:55PM ??         0:00.14 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  501   422     1   0  1:55PM ??         0:00.10 /System/Library/CoreServices/pbs
  501   424     1   0  1:55PM ??         0:00.22 /usr/libexec/videosubscriptionsd
  501   425     1   0  1:55PM ??         0:56.65 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  501   426     1   0  1:55PM ??         0:00.11 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  501   427     1   0  1:55PM ??         0:00.11 /usr/libexec/networkserviceproxy
    0   428     1   0  1:55PM ??         0:00.79 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  501   430     1   0  1:55PM ??         0:00.03 /System/Library/CoreServices/APFSUserAgent
    0   431     1   0  1:55PM ??         0:00.03 /System/Library/CoreServices/CrashReporterSupportHelper server-init
  501   432     1   0  1:55PM ??         0:05.79 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501   435     1   0  1:56PM ??         0:07.98 /System/Library/CoreServices/cloudphotosd.app/Contents/MacOS/cloudphotosd
  501   436     1   0  1:56PM ??         0:08.99 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  501   442     1   0  1:56PM ??         0:00.23 /usr/libexec/spindump_agent
  501   444     1   0  1:56PM ??         0:01.93 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  501   446     1   0  1:56PM ??         0:00.08 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdate_notify_agent
  200   447     1   0  1:56PM ??         0:14.63 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
    0   448     1   0  1:56PM ??         0:00.07 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  501   450     1   0  1:56PM ??         0:00.15 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storelegacy
    0   451     1   0  1:56PM ??         0:00.14 /usr/libexec/dmd
  501   453     1   0  1:56PM ??         0:01.81 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd
  501   454     1   0  1:56PM ??         0:00.96 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/media-indexer.xpc/Contents/MacOS/media-indexer
  501   455     1   0  1:56PM ??         0:00.35 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
